Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.8,P11,line,0.03,0.03,0,img/quad/line/s0.05m-0.8/,0
0.05,trig,0.2,P11,area,0.02,0.02,1,img/trig/area/s0.05m0.2/,0
0.1,line,-0.1,P11,area,-0.03,0.03,2,img/line/area/s0.1m-0.1/,0
0.05,trig,-0.1,P11,area,-0.05,0.05,3,img/trig/area/s0.05m-0.1/,0
0.1,quad,0.1,P11,line,0.05,0.05,4,img/quad/line/s0.1m0.1/,0
0.15,line,0.2,P11,scatter,0.29,0.29,5,img/line/scatter/s0.15m0.2/,0
0.2,quad,-0.1,P11,area,0,0,6,img/quad/area/s0.2m-0.1/,0
0.2,trig,0.2,P11,scatter,0.27,0.27,7,img/trig/scatter/s0.2m0.2/,0
0.05,line,0.1,P11,scatter,0.04,0.04,8,img/line/scatter/s0.05m0.1/,0
0.05,trig,-0.1,P11,line,-0.01,0.01,9,img/trig/line/s0.05m-0.1/,0
0.05,quad,0.1,P11,line,0.02,0.02,10,img/quad/line/s0.05m0.1/,0
0.15,line,0.4,P11,scatter,0.21,0.21,11,img/line/scatter/s0.15m0.4/,0
0.2,quad,-0.1,P11,line,-0.01,0.01,12,img/quad/line/s0.2m-0.1/,0
0.1,trig,0.1,P11,area,0.1,0.1,13,img/trig/area/s0.1m0.1/,0
0.1,line,-0.2,P11,area,0.04,0.04,14,img/line/area/s0.1m-0.2/,0
0.2,trig,-0.4,P11,line,-0.08,0.08,15,img/trig/line/s0.2m-0.4/,0
0.2,quad,-0.2,P11,line,-0.02,0.02,16,img/quad/line/s0.2m-0.2/,0
0.05,line,0.2,P11,scatter,-0.01,0.01,17,img/line/scatter/s0.05m0.2/,0
0.1,quad,-0.1,P11,line,0.07,0.07,18,img/quad/line/s0.1m-0.1/,0
0.01,line,-0.4,P11,area,-0.06,0.06,19,img_validation/line/area/s0.1m-0.4/,1
0.1,trig,0.2,P11,scatter,0.13,0.13,20,img/trig/scatter/s0.1m0.2/,0
0.2,line,-0.8,P11,scatter,-0.15,0.15,21,img/line/scatter/s0.2m-0.8/,0
0.15,trig,-0.8,P11,line,-0.12,0.12,22,img/trig/line/s0.15m-0.8/,0
0.05,quad,0.8,P11,scatter,0.04,0.04,23,img/quad/scatter/s0.05m0.8/,0
0.05,line,-0.8,P11,area,0.03,0.03,24,img/line/area/s0.05m-0.8/,0
0.15,quad,-0.8,P11,area,-0.06,0.06,25,img/quad/area/s0.15m-0.8/,0
0.1,trig,0.8,P11,scatter,0.22,0.22,26,img/trig/scatter/s0.1m0.8/,0
0.05,line,0.8,P11,line,0.03,0.03,27,img/line/line/s0.05m0.8/,0
0.1,trig,0.2,P11,area,0.17,0.17,28,img/trig/area/s0.1m0.2/,0
0.2,quad,-0.8,P11,area,-0.02,0.02,29,img/quad/area/s0.2m-0.8/,0
0.1,line,0.8,P11,area,0.15,0.15,30,img/line/area/s0.1m0.8/,0
0.1,quad,-0.2,P11,line,0.01,0.01,31,img/quad/line/s0.1m-0.2/,0
0.15,trig,-0.1,P11,area,0.03,0.03,32,img/trig/area/s0.15m-0.1/,0
0.2,line,0.4,P11,scatter,-0.02,0.02,33,img/line/scatter/s0.2m0.4/,0
0.05,trig,0.2,P11,line,0.02,0.02,34,img/trig/line/s0.05m0.2/,0
0.15,quad,-0.4,P11,area,-0.08,0.08,35,img/quad/area/s0.15m-0.4/,0
0.1,line,0.4,P11,area,-0.03,0.03,36,img/line/area/s0.1m0.4/,0
0.1,quad,0.4,P11,line,-0.01,0.01,37,img/quad/line/s0.1m0.4/,0
0.02,line,0.8,P11,area,0.03,0.03,38,img_validation/line/area/s0.2m0.8/,1
0.15,trig,-0.8,P11,scatter,0.08,0.08,39,img/trig/scatter/s0.15m-0.8/,0
0.05,line,-0.4,P11,scatter,-0.02,0.02,40,img/line/scatter/s0.05m-0.4/,0
0.2,trig,-0.2,P11,area,-0.14,0.14,41,img/trig/area/s0.2m-0.2/,0
0.2,quad,0.8,P11,scatter,-0.07,0.07,42,img/quad/scatter/s0.2m0.8/,0
0.15,line,0.2,P11,area,0.18,0.18,43,img/line/area/s0.15m0.2/,0
0.2,quad,0.4,P11,line,-0.01,0.01,44,img/quad/line/s0.2m0.4/,0
0.15,trig,0.1,P11,line,0.05,0.05,45,img/trig/line/s0.15m0.1/,0
0.2,line,0.8,P11,line,0.29,0.29,46,img/line/line/s0.2m0.8/,0
0.15,trig,0.4,P11,line,0.12,0.12,47,img/trig/line/s0.15m0.4/,0
0.05,quad,-0.8,P11,scatter,-0.06,0.06,48,img/quad/scatter/s0.05m-0.8/,0
0.05,line,-0.4,P11,area,0.08,0.08,49,img/line/area/s0.05m-0.4/,0
0.1,quad,-0.2,P11,scatter,-0.13,0.13,50,img/quad/scatter/s0.1m-0.2/,0
0.15,trig,0.8,P11,area,0.1,0.1,51,img/trig/area/s0.15m0.8/,0
0.2,line,0.1,P11,line,-0.03,0.03,52,img/line/line/s0.2m0.1/,0
0.1,trig,-0.8,P11,scatter,-0.13,0.13,53,img/trig/scatter/s0.1m-0.8/,0
0.2,quad,-0.8,P11,line,-0.16,0.16,54,img/quad/line/s0.2m-0.8/,0
0.2,line,0.1,P11,area,-0.01,0.01,55,img/line/area/s0.2m0.1/,0
0.05,quad,-0.2,P11,area,-0.03,0.03,56,img/quad/area/s0.05m-0.2/,0
0.01,line,-0.4,P11,area,-0.1,0.1,57,img_validation/line/area/s0.1m-0.4/,1
0.2,trig,-0.2,P11,scatter,-0.09,0.09,58,img/trig/scatter/s0.2m-0.2/,0
0.1,line,-0.4,P11,scatter,-0.06,0.06,59,img/line/scatter/s0.1m-0.4/,0
0.2,trig,0.8,P11,area,0.02,0.02,60,img/trig/area/s0.2m0.8/,0
0.15,quad,-0.2,P11,scatter,-0.2,0.2,61,img/quad/scatter/s0.15m-0.2/,0
0.1,line,-0.8,P11,line,-0.03,0.03,62,img/line/line/s0.1m-0.8/,0
0.1,quad,0.2,P11,line,0.07,0.07,63,img/quad/line/s0.1m0.2/,0
0.1,trig,-0.8,P11,area,-0.13,0.13,64,img/trig/area/s0.1m-0.8/,0
0.05,line,-0.4,P11,line,-0.04,0.04,65,img/line/line/s0.05m-0.4/,0
0.05,trig,-0.1,P11,scatter,-0.04,0.04,66,img/trig/scatter/s0.05m-0.1/,0
0.1,quad,-0.1,P11,scatter,0.01,0.01,67,img/quad/scatter/s0.1m-0.1/,0
0.15,line,0.2,P11,line,0.02,0.02,68,img/line/line/s0.15m0.2/,0
0.05,quad,0.4,P11,area,0,0,69,img/quad/area/s0.05m0.4/,0
0.15,trig,0.8,P11,scatter,0.07,0.07,70,img/trig/scatter/s0.15m0.8/,0
0.1,line,-0.4,P11,line,0,0,71,img/line/line/s0.1m-0.4/,0
0.15,trig,-0.4,P11,line,0.12,0.12,72,img/trig/line/s0.15m-0.4/,0
0.1,quad,-0.4,P11,area,0.02,0.02,73,img/quad/area/s0.1m-0.4/,0
0.2,line,0.2,P11,area,0.05,0.05,74,img/line/area/s0.2m0.2/,0
0.15,quad,0.1,P11,area,0.1,0.1,75,img/quad/area/s0.15m0.1/,0
0.05,line,-0.2,P11,area,-0.02,0.02,76,img_validation/line/area/s0.05m-0.2/,1
0.2,trig,-0.4,P11,area,-0.14,0.14,77,img/trig/area/s0.2m-0.4/,0
0.1,line,0.8,P11,line,-0.06,0.06,78,img/line/line/s0.1m0.8/,0
0.15,trig,0.1,P11,scatter,0.18,0.18,79,img/trig/scatter/s0.15m0.1/,0
0.2,quad,0.1,P11,scatter,0.08,0.08,80,img/quad/scatter/s0.2m0.1/,0
0.2,line,-0.1,P11,scatter,-0.15,0.15,81,img/line/scatter/s0.2m-0.1/,0
0.05,quad,-0.2,P11,scatter,0.03,0.03,82,img/quad/scatter/s0.05m-0.2/,0
0.15,trig,-0.1,P11,line,-0.03,0.03,83,img/trig/line/s0.15m-0.1/,0
0.05,line,0.4,P11,line,0.08,0.08,84,img/line/line/s0.05m0.4/,0
0.15,trig,-0.2,P11,area,-0.14,0.14,85,img/trig/area/s0.15m-0.2/,0
0.05,quad,-0.2,P11,line,-0.03,0.03,86,img/quad/line/s0.05m-0.2/,0
0.05,line,0.4,P11,scatter,0.07,0.07,87,img/line/scatter/s0.05m0.4/,0
0.15,quad,-0.1,P11,scatter,-0.12,0.12,88,img/quad/scatter/s0.15m-0.1/,0
0.15,trig,0.8,P11,line,0.05,0.05,89,img/trig/line/s0.15m0.8/,0
0.1,line,0.4,P11,scatter,0.15,0.15,90,img/line/scatter/s0.1m0.4/,0
0.15,trig,0.4,P11,area,0.18,0.18,91,img/trig/area/s0.15m0.4/,0
0.05,quad,0.8,P11,area,0.03,0.03,92,img/quad/area/s0.05m0.8/,0
0.15,line,-0.4,P11,scatter,-0.15,0.15,93,img/line/scatter/s0.15m-0.4/,0
0.2,quad,0.4,P11,area,0.16,0.16,94,img/quad/area/s0.2m0.4/,0
0.1,trig,0.1,P11,scatter,0.11,0.11,95,img/trig/scatter/s0.1m0.1/,0
0.05,line,0.1,P11,area,0.04,0.04,96,img/line/area/s0.05m0.1/,0
0.15,trig,-0.2,P11,line,-0.1,0.1,97,img/trig/line/s0.15m-0.2/,0
0.2,quad,0.2,P11,line,0.03,0.03,98,img/quad/line/s0.2m0.2/,0
0.2,line,-0.4,P11,scatter,-0.1,0.1,99,img/line/scatter/s0.2m-0.4/,0